"Threat Type";"MatchType";"Threatened";"Flow From";"Data Flow";"Flow To";"Vulnerability";"Risk";"Risk (lower)";"Risk (upper)";"Risk (potential)";"Description";"LongDescription"
"Repudiation: Attacking the Logs";"";"FileStorage (S3) - aws_s3_bucket.bucket_temp";"";"";"";"1";"0.7081";"0.0001";"4.6577";"0.7081";"";""
"Repudiation: Attacking the Logs";"";"FileStorage (S3) - aws_s3_bucket.bucket_tf_files";"";"";"";"1";"0.7604";"0.0002";"5.3945";"0.7604";"";""
"Repudiation: Attacking the Logs";"";"FileStorage (S3) - aws_s3_bucket_acl.dev";"";"";"";"1";"0.7263";"0";"4.768";"0.7263";"";""
"Repudiation: Attacking the Logs";"";"FileStorage (S3) - aws_s3_bucket.bucket_upload";"";"";"";"1";"0.7743";"0.0002";"4.7295";"0.7743";"";""
"Denial of Service: Failure Of Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.6943";"0.0001";"4.8642";"0.6943";"";""
"Denial of Service: Failure Of Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.754";"0.0001";"4.5856";"0.754";"";""
"Denial of Service: Failure Of Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7195";"0";"5.0207";"0.7195";"";""
"Denial of Service: Failure Of Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7166";"0";"5.213";"0.7166";"";""
"Information Disclosure: Backup Of Cloud Application Stolen";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7373";"0";"4.9421";"0.7373";"";""
"Information Disclosure: Backup Of Cloud Application Stolen";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7057";"0.0001";"5.3168";"0.7057";"";""
"Information Disclosure: Backup Of Cloud Application Stolen";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7418";"0";"5.1893";"0.7418";"";""
"Information Disclosure: Backup Of Cloud Application Stolen";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7346";"0";"4.9819";"0.7346";"";""
"Information Disclosure: Disclosure Of Credentials Of Cloud Management Interface";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7378";"0";"5.1294";"0.7378";"";""
"Information Disclosure: Disclosure Of Credentials Of Cloud Management Interface";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7575";"0";"5.262";"0.7575";"";""
"Information Disclosure: Disclosure Of Credentials Of Cloud Management Interface";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7303";"0";"5.1544";"0.7303";"";""
"Information Disclosure: Disclosure Of Credentials Of Cloud Management Interface";"";"VirtualFirewall (SecurityGroup) - AWS_GOAT_sg";"";"";"";"1";"0.7253";"0.0001";"5.3725";"0.7253";"";""
"Elevation of Privilege: Broken Access Control";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.764";"0";"4.8744";"0.764";"";""
"Elevation of Privilege: Broken Access Control";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7072";"0.0002";"4.8744";"0.7072";"";""
"Elevation of Privilege: Broken Access Control";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7419";"0.0001";"4.3952";"0.7419";"";""
"Elevation of Privilege: Broken Access Control";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.6954";"0";"4.5868";"0.6954";"";""
"Tampering: Malware From Cloud Application";"";"User";"";"";"";"1";"0.7527";"0.0002";"5.228";"0.7527";"";""
"Tampering: Malware From Cloud Application";"";"User";"";"";"";"1";"0.7457";"0";"5.5117";"0.7457";"";""
"Tampering: Malware From Cloud Application";"";"User";"";"";"";"1";"0.7749";"0.0001";"4.9996";"0.7749";"";""
"Tampering: Malware From Cloud Application";"";"User";"";"";"";"1";"0.6896";"0";"5.4218";"0.6896";"";""
"Information Disclosure: Sensitive Data Leakage";"";"FileStorage (S3) - aws_s3_bucket.bucket_temp";"";"";"";"1";"0.7274";"0.0002";"4.9005";"0.7274";"";""
"Denial of Service: Block Shared Resources Of Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7477";"0.0001";"5.0063";"0.7477";"";""
"Denial of Service: Block Shared Resources Of Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7259";"0";"4.7445";"0.7259";"";""
"Denial of Service: Block Shared Resources Of Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7162";"0";"4.8247";"0.7162";"";""
"Denial of Service: Block Shared Resources Of Cloud Application";"";"VirtualFirewall (SecurityGroup) - AWS_GOAT_sg";"";"";"";"1";"0.7498";"0";"5.2697";"0.7498";"";""
"Tampering: Unauthorized Modification of the Data Stores";"";"FileStorage (S3) - aws_s3_bucket.bucket_temp";"";"";"";"1";"0.7272";"0";"4.4193";"0.7272";"";""
"Tampering: Unauthorized Modification of the Data Stores";"";"FileStorage (S3) - aws_s3_bucket.bucket_tf_files";"";"";"";"1";"0.7362";"0";"4.8936";"0.7362";"";""
"Tampering: Unauthorized Modification of the Data Stores";"";"FileStorage (S3) - aws_s3_bucket_acl.dev";"";"";"";"1";"0.7109";"0";"5.0105";"0.7109";"";""
"Tampering: Unauthorized Modification of the Data Stores";"";"FileStorage (S3) - aws_s3_bucket.bucket_upload";"";"";"";"1";"0.7347";"0";"4.8931";"0.7347";"";""
"Denial of Service: Backup Of Cloud Application Lost";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7502";"0.0002";"4.8828";"0.7502";"";""
"Denial of Service: Backup Of Cloud Application Lost";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.6993";"0.0001";"4.5193";"0.6993";"";""
"Denial of Service: Backup Of Cloud Application Lost";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7344";"0";"4.8922";"0.7344";"";""
"Denial of Service: Backup Of Cloud Application Lost";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7656";"0.0001";"4.5929";"0.7656";"";""
"Denial of Service: DDoS Attack To Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.8002";"0";"4.9723";"0.8002";"";""
"Denial of Service: DDoS Attack To Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7831";"0.0001";"4.4277";"0.7831";"";""
"Denial of Service: DDoS Attack To Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7332";"0";"4.6704";"0.7332";"";""
"Denial of Service: DDoS Attack To Cloud Application";"";"VirtualFirewall (SecurityGroup) - AWS_GOAT_sg";"";"";"";"1";"0.7119";"0.0003";"4.9101";"0.7119";"";""
"Information Disclosure: Logs Of Cloud Application Stolen";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7917";"0";"4.8786";"0.7917";"";""
"Information Disclosure: Logs Of Cloud Application Stolen";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7208";"0";"5.502";"0.7208";"";""
"Information Disclosure: Logs Of Cloud Application Stolen";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7036";"0.0001";"4.9266";"0.7036";"";""
"Information Disclosure: Logs Of Cloud Application Stolen";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7613";"0";"5.0088";"0.7613";"";""
"Spoofing: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7511";"0.0001";"4.9654";"0.7511";"";""
"Spoofing: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7718";"0.0001";"5.5667";"0.7718";"";""
"Spoofing: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7932";"0.0001";"5.0827";"0.7932";"";""
"Spoofing: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7373";"0";"5.4401";"0.7373";"";""
"Information Disclosure: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7811";"0";"5.1384";"0.7811";"";""
"Information Disclosure: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7202";"0.0002";"4.8519";"0.7202";"";""
"Information Disclosure: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7517";"0";"5.0584";"0.7517";"";""
"Information Disclosure: Social Engineering Against Remote User";"";"User";"";"";"";"1";"0.7281";"0";"5.2083";"0.7281";"";""
"Tampering: Remote Code Execution";"";"VirtualMachine (EC2) - aws_instance.goat_instance";"";"";"";"1";"0.6832";"0";"4.7974";"0.6832";"";""
"Spoofing: Broken Authentication";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7088";"0";"5.628";"0.7088";"";""
"Spoofing: Broken Authentication";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7152";"0.0001";"4.6459";"0.7152";"";""
"Spoofing: Broken Authentication";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7086";"0";"4.0771";"0.7086";"";""
"Spoofing: Broken Authentication";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7177";"0";"4.7645";"0.7177";"";""
"Information Disclosure: Public Network Access To Cloud Application";"";"User";"";"";"";"1";"0.7656";"0";"4.5189";"0.7656";"";""
"Information Disclosure: Public Network Access To Cloud Application";"";"User";"";"";"";"1";"0.7413";"0";"4.4946";"0.7413";"";""
"Information Disclosure: Public Network Access To Cloud Application";"";"User";"";"";"";"1";"0.7622";"0.0001";"4.9268";"0.7622";"";""
"Information Disclosure: Public Network Access To Cloud Application";"";"User";"";"";"";"1";"0.6775";"0";"4.7677";"0.6775";"";""
"Other: Network Attacks To Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7788";"0";"4.9745";"0.7788";"";""
"Other: Network Attacks To Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7455";"0";"5.1684";"0.7455";"";""
"Other: Network Attacks To Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7579";"0.0002";"5.5363";"0.7579";"";""
"Other: Network Attacks To Cloud Application";"";"VirtualFirewall (SecurityGroup) - AWS_GOAT_sg";"";"";"";"1";"0.7969";"0";"4.438";"0.7969";"";""
"Denial of Service: EDoS Attack To Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7386";"0";"4.9238";"0.7386";"";""
"Denial of Service: EDoS Attack To Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7663";"0";"5.1129";"0.7663";"";""
"Denial of Service: EDoS Attack To Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7234";"0";"5.1281";"0.7234";"";""
"Denial of Service: EDoS Attack To Cloud Application";"";"VirtualFirewall (SecurityGroup) - AWS_GOAT_sg";"";"";"";"1";"0.7495";"0";"4.2977";"0.7495";"";""
"Other: Cloud Application Abuse";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7411";"0";"4.6365";"0.7411";"";""
"Other: Cloud Application Abuse";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7378";"0";"4.8192";"0.7378";"";""
"Other: Cloud Application Abuse";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.6892";"0.0001";"4.4184";"0.6892";"";""
"Other: Cloud Application Abuse";"";"VirtualFirewall (SecurityGroup) - AWS_GOAT_sg";"";"";"";"1";"0.7823";"0";"5.5537";"0.7823";"";""
